instance_id,cluster_name,environment,region,application_name,business_unit,tier,engine,engine_version,instance_class,storage_gb,multi_az,reader_count,owner_team,support_group,criticality,rto_minutes,rpo_minutes,cost_center,patch_group
aur-0001,cluster-0001,DEV,eu-west-1,app-0001,Finance,Tier-3,Aurora PostgreSQL,16.4,db.r7g.4xlarge,100,No,7,SRE Team,DBA-L3,Critical,15,5,CC1001,Quarterly
aur-0002,cluster-0002,DEV,eu-west-1,app-0002,Retail,Tier-3,Aurora PostgreSQL,16.4,db.r7g.xlarge,500,No,0,SRE Team,DBA-L3,High,60,1,CC1002,Quarterly
aur-0003,cluster-0003,PROD,ap-south-1,app-0003,Platform,Tier-1,Aurora PostgreSQL,14.9,db.r7g.2xlarge,1000,No,7,SRE Team,DBA-L3,High,30,15,CC1003,Quarterly
aur-0004,cluster-0004,UAT,us-east-2,app-0004,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.8xlarge,1000,No,1,SRE Team,DBA-L3,High,15,5,CC1004,Quarterly
aur-0005,cluster-0005,QA,us-east-2,app-0005,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.2xlarge,1000,Yes,1,SRE Team,DBA-L3,Critical,60,5,CC1005,Monthly
aur-0006,cluster-0006,PROD,us-west-2,app-0006,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.4xlarge,1000,No,0,SRE Team,DBA-L3,Medium,30,5,CC1006,Quarterly
aur-0007,cluster-0007,STG,us-west-2,app-0007,Finance,Tier-1,Aurora PostgreSQL,16.4,db.r7g.xlarge,500,Yes,4,Platform Team,DBA-L3,Critical,30,5,CC1007,Quarterly
aur-0008,cluster-0008,UAT,us-east-1,app-0008,Platform,Tier-3,Aurora PostgreSQL,15.7,db.r7g.8xlarge,2000,Yes,8,Platform Team,DBA-L3,Medium,60,5,CC1008,Quarterly
aur-0009,cluster-0009,STG,us-east-2,app-0009,Consumer,Tier-2,Aurora PostgreSQL,15.7,db.r7g.2xlarge,250,No,2,SRE Team,DBA-L3,High,60,5,CC1009,Quarterly
aur-0010,cluster-0010,QA,ap-south-1,app-0010,Finance,Tier-2,Aurora PostgreSQL,13.12,db.r7g.xlarge,1000,No,8,Platform Team,DBA-L3,High,15,1,CC1010,Monthly
aur-0011,cluster-0011,UAT,eu-west-1,app-0011,Retail,Tier-3,Aurora PostgreSQL,16.4,db.r7g.4xlarge,2000,No,8,DBA Team,DBA-L3,Medium,60,15,CC1011,Monthly
aur-0012,cluster-0012,PROD,ap-south-1,app-0012,Consumer,Tier-3,Aurora PostgreSQL,13.12,db.r7g.xlarge,2000,Yes,4,DBA Team,DBA-L3,High,60,1,CC1012,Monthly
aur-0013,cluster-0013,DEV,us-east-1,app-0013,Retail,Tier-2,Aurora PostgreSQL,14.9,db.r7g.2xlarge,4000,Yes,2,SRE Team,DBA-L3,Critical,60,5,CC1013,Quarterly
aur-0014,cluster-0014,PROD,us-east-2,app-0014,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.xlarge,500,Yes,4,SRE Team,DBA-L3,Medium,15,15,CC1014,Quarterly
aur-0015,cluster-0015,DEV,us-east-2,app-0015,Consumer,Tier-3,Aurora PostgreSQL,16.4,db.r7g.8xlarge,4000,Yes,4,SRE Team,DBA-L3,Medium,15,15,CC1015,Quarterly
aur-0016,cluster-0016,STG,us-east-2,app-0016,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.8xlarge,2000,Yes,8,DBA Team,DBA-L3,High,30,1,CC1016,Quarterly
aur-0017,cluster-0017,PROD,us-east-2,app-0017,Retail,Tier-3,Aurora PostgreSQL,16.4,db.r7g.4xlarge,500,Yes,8,DBA Team,DBA-L3,Medium,60,5,CC1017,Monthly
aur-0018,cluster-0018,STG,ap-south-1,app-0018,Platform,Tier-2,Aurora PostgreSQL,14.9,db.r7g.xlarge,500,No,4,SRE Team,DBA-L3,Medium,15,15,CC1018,Quarterly
aur-0019,cluster-0019,QA,ap-south-1,app-0019,Retail,Tier-3,Aurora PostgreSQL,14.9,db.r7g.8xlarge,4000,Yes,5,Platform Team,DBA-L3,Medium,60,15,CC1019,Monthly
